Text,Locus,Speaker,Addressee
Ovid Metamorphoses,  14.167-14.222,Achaemenides,Macareus (of Neritos)
Ovid Metamorphoses,  8.550-8.559,Acheloüs,Theseus
Ovid Metamorphoses,  8.577-8.610,Acheloüs,Theseus
Ovid Metamorphoses,  8.595-8.602,Acheloüs,Neptune
Ovid Metamorphoses,  9.4-9.88,Acheloüs,Theseus
Ovid Metamorphoses,  9.9-9.12,Acheloüs,Oeneus
Ovid Metamorphoses,  9.9-9.12,Acheloüs,Oeneus
Ovid Metamorphoses,  8.728-8.884,Acheloüs,Theseus
Ovid Metamorphoses,  9.16-9.26,Acheloüs,Oeneus
Ovid Metamorphoses,  8.728-8.884,Acheloüs,Theseus
Ovid Metamorphoses,  9.16-9.26,Acheloüs,Oeneus
Ovid Metamorphoses,  7.518-7.659,Aeacus,Cephalus
Ovid Metamorphoses,  7.620-7.621,Aeacus,Jupiter
Ovid Metamorphoses,  7.627-7.628,Aeacus,Jupiter
Ovid Metamorphoses,  7.507-7.511,Aeacus,Cephalus
Ovid Metamorphoses,  7.615-7.618,Aeacus,Jupiter
Ovid Metamorphoses,  7.484-7.486,Aeacus,Minos
Ovid Metamorphoses,  13.5-13.122,Aias (son of Telamon),Achaeans
Ovid Metamorphoses,  13.387-13.390,Aias (son of Telamon),Aias (son of Telamon)
Ovid Metamorphoses,  4.276-4.388,Alcithoë,daughters of Minyas
Ovid Metamorphoses,  10.196-10.208,Apollo,Hyacinthus
Ovid Metamorphoses,  14.135-14.136,Apollo,Deiphobe
Ovid Metamorphoses,  10.141-10.142,Apollo,Cyparissus
Ovid Metamorphoses,  1.504-1.524,Apollo,Daphne
Ovid Metamorphoses,  1.498-1.498,Apollo,Apollo
Ovid Metamorphoses,  3.10-3.13,Apollo,Cadmus
Ovid Metamorphoses,  1.456-1.462,Apollo,Cupid
Ovid Metamorphoses,  12.601-12.603,Apollo,Paris
Ovid Metamorphoses,  6.215-6.215,Apollo,Latona
Ovid Metamorphoses,  3.10-3.13,Apollo,Cupid
Ovid Metamorphoses,  1.456-1.462,Apollo,Cupid
Ovid Metamorphoses,  5.577-5.641,Arethusa,Ceres
Ovid Metamorphoses,  5.489-5.508,Arethusa,Ceres
Ovid Metamorphoses,  5.618-5.620,Arethusa,Diana
Ovid Metamorphoses,  9.569-9.570,Byblis,servant of Byblis
Ovid Metamorphoses,  9.530-9.563,Byblis,Caunus
Ovid Metamorphoses,  9.530-9.563,Byblis,Caunus
Ovid Metamorphoses,  9.474-9.519,Byblis,Byblis
Ovid Metamorphoses,  9.585-9.629,Byblis,Byblis
Ovid Metamorphoses,  5.341-5.661,Calliope,Muses nymphs Pierides
Ovid Metamorphoses,  7.796-7.862,Cephalus,Phocus
Ovid Metamorphoses,  7.741-7.742,Cephalus,Procris
Ovid Metamorphoses,  7.690-7.793,Cephalus,Phocus
