,word_count,sentence_count,sentence_length,fraction_sentence_relative,relative_clause_length,alius,antequam,atque_consonant,conjunction,cum_clause,demonstrative,dum,gerundive,idem,interrogative,ipse,iste,o_interjection,personal,preposition,priusquam,quidam,quin,quominus,reflexive,si,superlative,ut
1.182-1.198.txt,113,6,18.833333333333332,0.6666666666666666,5.333333333333333,0,0,0,11,0,3,0,2,1,1,0,0,1,5,5,0,0,0,0,0,0,0,0
1.209-1.243.txt,230,17,13.529411764705882,0.29411764705882354,5.5,0,0,0,15,0,6,0,1,4,0,3,0,0,2,8,0,0,0,0,0,0,0,0
1.456-1.462.txt,46,3,15.333333333333334,0.6666666666666666,7.333333333333333,0,0,0,2,0,1,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0
1.498-1.498.txt,8,3,2.6666666666666665,0.0,,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
1.504-1.524.txt,149,13,11.461538461538462,0.46153846153846156,3.857142857142857,0,0,0,13,0,2,0,1,1,0,1,0,0,9,4,0,0,0,0,0,0,0,0
1.589-1.597.txt,61,4,15.25,0.5,4.333333333333333,0,0,0,9,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0
1.607-1.608.txt,14,1,14.0,0.0,,0,0,0,3,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0
1.735-1.737.txt,23,2,11.5,0.0,,0,0,0,1,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
10.141-10.142.txt,10,1,10.0,0.0,,1,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
10.148-10.739.txt,3946,268,14.682835820895523,0.21641791044776118,5.4,2,0,0,498,8,95,13,13,13,23,23,4,4,76,132,0,0,0,0,14,31,5,19
10.17-10.39.txt,164,9,18.22222222222222,0.2222222222222222,5.666666666666667,0,0,0,16,0,7,0,0,0,0,0,0,1,7,9,0,0,0,0,0,3,1,1
